CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
1006,Male,0,Yes,No,12,Yes,Fiber optic,Month-to-month,95.0,1140.0,Yes
1007,Female,1,No,No,1,No,No,Month-to-month,20.0,20.0,No
1008,Male,0,Yes,Yes,36,Yes,DSL,Two year,65.5,2358.0,No
1009,Female,0,Yes,No,6,Yes,Fiber optic,One year,85.75,514.5,Yes
1010,Male,1,No,No,4,Yes,DSL,Month-to-month,70.3,281.2,Yes
1011,Female,0,No,Yes,18,Yes,DSL,One year,55.25,994.5,No
1012,Male,1,Yes,Yes,20,Yes,Fiber optic,Two year,115.0,2300.0,No
1013,Female,0,Yes,No,10,Yes,No,One year,45.0,450.0,No
1014,Male,1,No,No,2,Yes,Fiber optic,Month-to-month,90.1,180.2,Yes
1015,Female,0,Yes,Yes,22,Yes,DSL,Two year,60.0,1320.0,No
